Line,EventId,EventTemplate,Content,ParameterList
1087,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_7534378757788640871 of size 67108864 from /10.251.214.130,"['7534378757788640871', '67108864', '10.251.214.130']"
1088,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/randtxt3/_temporary/_task_200811101024_0007_m_001662_0/part-01662. blk_8196657927516481490,"['user/root/randtxt3/_temporary/_task_200811101024_0007_m_001662_0', '01662', '8196657927516481490']"
1089,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-5029807829679779067 src: /10.251.122.79:49600 dest: /10.251.122.79:50010,"['-5029807829679779067', '10.251.122.79:49600', '10.251.122.79:50010']"
1090,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-3657751236932275338 src: /10.251.123.99:50481 dest: /10.251.123.99:50010,"['-3657751236932275338', '10.251.123.99:50481', '10.251.123.99:50010']"
1091,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.227:50010 is added to blk_1594026090263820445 size 67108864,"['10.251.74.227:50010', '1594026090263820445', '67108864']"
1092,E14,Verification succeeded for blk_<*>,Verification succeeded for blk_3894335463008345041,['3894335463008345041']
1093,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.193.224:50010 is added to blk_-6299730951392868297 size 67108864,"['10.251.193.224:50010', '-6299730951392868297', '67108864']"
1094,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_157913239647511296 terminating,"['0', '157913239647511296']"
1095,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_-6454539193224916125 terminating,"['1', '-6454539193224916125']"
1096,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.194.213:50010 is added to blk_-3575568207121859434 size 67108864,"['10.251.194.213:50010', '-3575568207121859434', '67108864']"
1097,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_-4325209272072286951 terminating,"['2', '-4325209272072286951']"
1098,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.91.159:50010 is added to blk_-5739126205963920408 size 67108864,"['10.251.91.159:50010', '-5739126205963920408', '67108864']"
1099,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_-9056865861421808370 terminating,"['2', '-9056865861421808370']"
1100,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_-6934248664959947757 terminating,"['1', '-6934248664959947757']"
1101,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-2082401934988378573 of size 67108864 from /10.251.214.112,"['-2082401934988378573', '67108864', '10.251.214.112']"
1102,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_7627900514276120558 terminating,"['1', '7627900514276120558']"
1103,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-1250775350296476256 terminating,"['0', '-1250775350296476256']"
1104,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_2389216938154332862 terminating,"['2', '2389216938154332862']"
1105,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.53:50010 is added to blk_7430820184211246929 size 67108864,"['10.251.38.53:50010', '7430820184211246929', '67108864']"
1106,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-608202790716579401 is added to invalidSet of 10.251.198.33:50010,"['-608202790716579401', '10.251.198.33:50010']"
1107,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-1335063409877429524 is added to invalidSet of 10.251.107.196:50010,"['-1335063409877429524', '10.251.107.196:50010']"
1108,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.202.181:50010 Served block blk_-5236655516146555545 to /10.251.31.5,"['10.251.202.181:50010', '-5236655516146555545', '10.251.31.5']"
1109,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.75.143:50010:Got exception while serving blk_2262752117989012641 to /10.250.13.188:,"['10.251.75.143:50010', '2262752117989012641', '10.250.13.188']"
1110,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.126.227:50010:Got exception while serving blk_-4181768899028058192 to /10.251.26.177:,"['10.251.126.227:50010', '-4181768899028058192', '10.251.26.177']"
1111,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.123.99:50010 Served block blk_-7990763409688650846 to /10.251.197.161,"['10.251.123.99:50010', '-7990763409688650846', '10.251.197.161']"
1112,E1,<*>:<*> Served block blk_<*> to /<*>,10.250.17.225:50010 Served block blk_-2656323385657954732 to /10.250.17.225,"['10.250.17.225:50010', '-2656323385657954732', '10.250.17.225']"
1113,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.250.7.230:50010:Got exception while serving blk_-7029628814943626474 to /10.251.38.197:,"['10.250.7.230:50010', '-7029628814943626474', '10.251.38.197']"
1114,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.127.243:50010 Served block blk_8711213005689112399 to /10.251.74.134,"['10.251.127.243:50010', '8711213005689112399', '10.251.74.134']"
1115,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.195.70:50010 Served block blk_-3696162841836791939 to /10.251.195.70,"['10.251.195.70:50010', '-3696162841836791939', '10.251.195.70']"
1116,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.91.84:50010 Served block blk_-8915491531889006304 to /10.251.91.84,"['10.251.91.84:50010', '-8915491531889006304', '10.251.91.84']"
1117,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.90.64:50010 Served block blk_-657087263710195616 to /10.250.14.196,"['10.251.90.64:50010', '-657087263710195616', '10.250.14.196']"
1118,E1,<*>:<*> Served block blk_<*> to /<*>,10.250.10.213:50010 Served block blk_-1125621902344947014 to /10.250.10.213,"['10.250.10.213:50010', '-1125621902344947014', '10.250.10.213']"
1119,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.214.175:50010:Got exception while serving blk_481857539063371482 to /10.251.105.189:,"['10.251.214.175:50010', '481857539063371482', '10.251.105.189']"
1120,E1,<*>:<*> Served block blk_<*> to /<*>,10.250.10.6:50010 Served block blk_1200136320542454615 to /10.250.10.6,"['10.250.10.6:50010', '1200136320542454615', '10.250.10.6']"
1121,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.39.144:50010:Got exception while serving blk_-8083036675630459841 to /10.251.39.209:,"['10.251.39.144:50010', '-8083036675630459841', '10.251.39.209']"
1122,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.250.7.32:50010:Got exception while serving blk_-1508527605812345693 to /10.251.74.192:,"['10.250.7.32:50010', '-1508527605812345693', '10.251.74.192']"
1123,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.31.180:50010 Served block blk_3905759687686730625 to /10.251.31.180,"['10.251.31.180:50010', '3905759687686730625', '10.251.31.180']"
1124,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.121.224:50010 Served block blk_342378162324355732 to /10.251.121.224,"['10.251.121.224:50010', '342378162324355732', '10.251.121.224']"
1125,E1,<*>:<*> Served block blk_<*> to /<*>,10.250.14.38:50010 Served block blk_-8674089929114017279 to /10.250.14.38,"['10.250.14.38:50010', '-8674089929114017279', '10.250.14.38']"
1126,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,10.251.107.98:50010:Got exception while serving blk_-3140031507252212554 to /10.250.7.244:,"['10.251.107.98:50010', '-3140031507252212554', '10.250.7.244']"
1127,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.125.237:50010 Served block blk_-309134958179110212 to /10.251.125.237,"['10.251.125.237:50010', '-309134958179110212', '10.251.125.237']"
1128,E1,<*>:<*> Served block blk_<*> to /<*>,10.250.13.240:50010 Served block blk_-3134225108208373949 to /10.250.13.240,"['10.250.13.240:50010', '-3134225108208373949', '10.250.13.240']"
1129,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-8887373200836701910 is added to invalidSet of 10.251.193.224:50010,"['-8887373200836701910', '10.251.193.224:50010']"
1130,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-1162676743264290624 is added to invalidSet of 10.251.194.213:50010,"['-1162676743264290624', '10.251.194.213:50010']"
1131,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-5513640508500780385 is added to invalidSet of 10.251.203.179:50010,"['-5513640508500780385', '10.251.203.179:50010']"
1132,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-7767902948513849386 is added to invalidSet of 10.251.71.146:50010,"['-7767902948513849386', '10.251.71.146:50010']"
1133,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-5382946262718129284 is added to invalidSet of 10.250.5.161:50010,"['-5382946262718129284', '10.250.5.161:50010']"
1134,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_5668137923110942035 is added to invalidSet of 10.251.91.229:50010,"['5668137923110942035', '10.251.91.229:50010']"
1135,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_7197514030988119866 is added to invalidSet of 10.251.75.49:50010,"['7197514030988119866', '10.251.75.49:50010']"
1136,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-5362598472846558076 is added to invalidSet of 10.250.14.143:50010,"['-5362598472846558076', '10.250.14.143:50010']"
1137,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-4269939382058952254 is added to invalidSet of 10.251.203.129:50010,"['-4269939382058952254', '10.251.203.129:50010']"
1138,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-6978845808078082463 is added to invalidSet of 10.251.109.209:50010,"['-6978845808078082463', '10.251.109.209:50010']"
1139,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-1071115021179995772 is added to invalidSet of 10.250.11.53:50010,"['-1071115021179995772', '10.250.11.53:50010']"
1140,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_7336636250384047238 is added to invalidSet of 10.251.26.177:50010,"['7336636250384047238', '10.251.26.177:50010']"
1141,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_8493856762887493521 is added to invalidSet of 10.251.26.131:50010,"['8493856762887493521', '10.251.26.131:50010']"
1142,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_1043487525777829194 is added to invalidSet of 10.251.110.8:50010,"['1043487525777829194', '10.251.110.8:50010']"
1143,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-3225035678192156905 is added to invalidSet of 10.251.38.214:50010,"['-3225035678192156905', '10.251.38.214:50010']"
1144,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_5572208681898881669 is added to invalidSet of 10.251.38.197:50010,"['5572208681898881669', '10.251.38.197:50010']"
1145,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-2225353020301959077 is added to invalidSet of 10.251.125.237:50010,"['-2225353020301959077', '10.251.125.237:50010']"
1146,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_3946183108430554053 is added to invalidSet of 10.250.11.100:50010,"['3946183108430554053', '10.250.11.100:50010']"
1147,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_-3681974396824196300 is added to invalidSet of 10.250.17.177:50010,"['-3681974396824196300', '10.250.17.177:50010']"
1148,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_2736251498135196075 is added to invalidSet of 10.251.90.64:50010,"['2736251498135196075', '10.251.90.64:50010']"
1149,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_1275198635723397883 is added to invalidSet of 10.251.202.134:50010,"['1275198635723397883', '10.251.202.134:50010']"
1150,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,BLOCK* NameSystem.delete: blk_3428998332517532825 is added to invalidSet of 10.251.43.192:50010,"['3428998332517532825', '10.251.43.192:50010']"
1151,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-7106479503467535906 file /mnt/hadoop/dfs/data/current/subdir32/blk_-7106479503467535906,"['-7106479503467535906', 'mnt/hadoop/dfs/data/current/subdir32', '-7106479503467535906']"
1152,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-7411858598798393933 file /mnt/hadoop/dfs/data/current/subdir24/blk_-7411858598798393933,"['-7411858598798393933', 'mnt/hadoop/dfs/data/current/subdir24', '-7411858598798393933']"
1153,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-5429479049793046826 file /mnt/hadoop/dfs/data/current/subdir34/blk_-5429479049793046826,"['-5429479049793046826', 'mnt/hadoop/dfs/data/current/subdir34', '-5429479049793046826']"
1154,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-6431101765137189231 file /mnt/hadoop/dfs/data/current/subdir33/blk_-6431101765137189231,"['-6431101765137189231', 'mnt/hadoop/dfs/data/current/subdir33', '-6431101765137189231']"
1155,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-2923662094689783995 file /mnt/hadoop/dfs/data/current/subdir38/blk_-2923662094689783995,"['-2923662094689783995', 'mnt/hadoop/dfs/data/current/subdir38', '-2923662094689783995']"
1156,E1,<*>:<*> Served block blk_<*> to /<*>,10.250.14.143:50010 Served block blk_-664656559337730574 to /10.250.7.96,"['10.250.14.143:50010', '-664656559337730574', '10.250.7.96']"
1157,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_3224393364314749254 of size 67108864 from /10.251.37.240,"['3224393364314749254', '67108864', '10.251.37.240']"
1158,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_1483582953997932733 file /mnt/hadoop/dfs/data/current/subdir7/blk_1483582953997932733,"['1483582953997932733', 'mnt/hadoop/dfs/data/current/subdir7', '1483582953997932733']"
1159,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-3607708283707030582 file /mnt/hadoop/dfs/data/current/subdir31/blk_-3607708283707030582,"['-3607708283707030582', 'mnt/hadoop/dfs/data/current/subdir31', '-3607708283707030582']"
1160,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_4365203784873840210 file /mnt/hadoop/dfs/data/current/subdir1/blk_4365203784873840210,"['4365203784873840210', 'mnt/hadoop/dfs/data/current/subdir1', '4365203784873840210']"
1161,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_1920931690498309324 file /mnt/hadoop/dfs/data/current/subdir42/blk_1920931690498309324,"['1920931690498309324', 'mnt/hadoop/dfs/data/current/subdir42', '1920931690498309324']"
1162,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_2731746367139956284 file /mnt/hadoop/dfs/data/current/subdir15/blk_2731746367139956284,"['2731746367139956284', 'mnt/hadoop/dfs/data/current/subdir15', '2731746367139956284']"
1163,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_3312198496468502316 file /mnt/hadoop/dfs/data/current/subdir36/blk_3312198496468502316,"['3312198496468502316', 'mnt/hadoop/dfs/data/current/subdir36', '3312198496468502316']"
1164,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-626413149556394155 file /mnt/hadoop/dfs/data/current/subdir26/blk_-626413149556394155,"['-626413149556394155', 'mnt/hadoop/dfs/data/current/subdir26', '-626413149556394155']"
1165,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_1350741653957819140 file /mnt/hadoop/dfs/data/current/subdir32/blk_1350741653957819140,"['1350741653957819140', 'mnt/hadoop/dfs/data/current/subdir32', '1350741653957819140']"
1166,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_6675564098604634452 file /mnt/hadoop/dfs/data/current/subdir1/blk_6675564098604634452,"['6675564098604634452', 'mnt/hadoop/dfs/data/current/subdir1', '6675564098604634452']"
1167,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_1692958087244489888 file /mnt/hadoop/dfs/data/current/subdir62/blk_1692958087244489888,"['1692958087244489888', 'mnt/hadoop/dfs/data/current/subdir62', '1692958087244489888']"
1168,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_5528471097481810388 file /mnt/hadoop/dfs/data/current/subdir5/blk_5528471097481810388,"['5528471097481810388', 'mnt/hadoop/dfs/data/current/subdir5', '5528471097481810388']"
1169,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_797263375273454863 file /mnt/hadoop/dfs/data/current/subdir16/blk_797263375273454863,"['797263375273454863', 'mnt/hadoop/dfs/data/current/subdir16', '797263375273454863']"
1170,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_5209577451013188921 file /mnt/hadoop/dfs/data/current/subdir24/blk_5209577451013188921,"['5209577451013188921', 'mnt/hadoop/dfs/data/current/subdir24', '5209577451013188921']"
1171,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_4713539908695785630 file /mnt/hadoop/dfs/data/current/subdir39/blk_4713539908695785630,"['4713539908695785630', 'mnt/hadoop/dfs/data/current/subdir39', '4713539908695785630']"
1172,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_6148201552996212693 file /mnt/hadoop/dfs/data/current/subdir15/blk_6148201552996212693,"['6148201552996212693', 'mnt/hadoop/dfs/data/current/subdir15', '6148201552996212693']"
1173,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_9014154925388243050 file /mnt/hadoop/dfs/data/current/subdir28/blk_9014154925388243050,"['9014154925388243050', 'mnt/hadoop/dfs/data/current/subdir28', '9014154925388243050']"
1174,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_8761138012128091849 file /mnt/hadoop/dfs/data/current/subdir33/blk_8761138012128091849,"['8761138012128091849', 'mnt/hadoop/dfs/data/current/subdir33', '8761138012128091849']"
1175,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-4071286774767564790 of size 67108864 from /10.251.197.226,"['-4071286774767564790', '67108864', '10.251.197.226']"
1176,E1,<*>:<*> Served block blk_<*> to /<*>,10.251.122.65:50010 Served block blk_2866275036574950116 to /10.250.11.53,"['10.251.122.65:50010', '2866275036574950116', '10.250.11.53']"
1177,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-6811519872198278365 of size 67108864 from /10.250.6.4,"['-6811519872198278365', '67108864', '10.250.6.4']"
1178,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.199.19:50010 is added to blk_6748710057489679257 size 67108864,"['10.251.199.19:50010', '6748710057489679257', '67108864']"
1179,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.209:50010 is added to blk_1833093108290599780 size 67108864,"['10.251.39.209:50010', '1833093108290599780', '67108864']"
1180,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.146:50010 is added to blk_9163807899833139121 size 67108864,"['10.250.7.146:50010', '9163807899833139121', '67108864']"
1181,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_3941798034503185737 src: /10.250.11.85:42358 dest: /10.250.11.85:50010,"['3941798034503185737', '10.250.11.85:42358', '10.250.11.85:50010']"
1182,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_6894918622505820383 of size 67108864 from /10.250.14.143,"['6894918622505820383', '67108864', '10.250.14.143']"
1183,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_6491424745418112176 src: /10.251.214.130:57008 dest: /10.251.214.130:50010,"['6491424745418112176', '10.251.214.130:57008', '10.251.214.130:50010']"
1184,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand4/_temporary/_task_200811101024_0009_m_000115_0/part-00115. blk_-17685631368401548,"['user/root/rand4/_temporary/_task_200811101024_0009_m_000115_0', '00115', '-17685631368401548']"
1185,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand4/_temporary/_task_200811101024_0009_m_000176_0/part-00176. blk_8924207394547472950,"['user/root/rand4/_temporary/_task_200811101024_0009_m_000176_0', '00176', '8924207394547472950']"
1186,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-4526931594457272384 src: /10.251.43.147:40348 dest: /10.251.43.147:50010,"['-4526931594457272384', '10.251.43.147:40348', '10.251.43.147:50010']"
1187,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.242:50010 is added to blk_5390763359901143305 size 67108864,"['10.251.31.242:50010', '5390763359901143305', '67108864']"
1188,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-11867600358649678 src: /10.251.75.79:46421 dest: /10.251.75.79:50010,"['-11867600358649678', '10.251.75.79:46421', '10.251.75.79:50010']"
1189,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.194:50010 is added to blk_2430417102497887445 size 67108864,"['10.250.11.194:50010', '2430417102497887445', '67108864']"
1190,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.18:50010 is added to blk_-747046374856916711 size 67108864,"['10.251.214.18:50010', '-747046374856916711', '67108864']"
1191,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_5062112794659861146 of size 67108864 from /10.251.91.84,"['5062112794659861146', '67108864', '10.251.91.84']"
1192,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-116589515245909549 src: /10.251.203.179:33198 dest: /10.251.203.179:50010,"['-116589515245909549', '10.251.203.179:33198', '10.251.203.179:50010']"
1193,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_4628975089896927394 terminating,"['1', '4628975089896927394']"
1194,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-764747190320632607 src: /10.251.127.191:49914 dest: /10.251.127.191:50010,"['-764747190320632607', '10.251.127.191:49914', '10.251.127.191:50010']"
1195,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-8015797075596093783 of size 67108864 from /10.250.11.194,"['-8015797075596093783', '67108864', '10.250.11.194']"
1196,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.160:50010 is added to blk_-1675768179383804109 size 67108864,"['10.251.110.160:50010', '-1675768179383804109', '67108864']"
1197,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_1155029843511109085 terminating,"['2', '1155029843511109085']"
1198,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.67.113:50010 is added to blk_9060964400089016309 size 67108864,"['10.251.67.113:50010', '9060964400089016309', '67108864']"
1199,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.67:50010 is added to blk_-1417908110808566576 size 67108864,"['10.251.214.67:50010', '-1417908110808566576', '67108864']"
1200,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-7483426835701512490 terminating,"['0', '-7483426835701512490']"
1201,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-3752135158991310104 src: /10.251.70.5:44375 dest: /10.251.70.5:50010,"['-3752135158991310104', '10.251.70.5:44375', '10.251.70.5:50010']"
1202,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-8649503431827393598 src: /10.251.199.19:48778 dest: /10.251.199.19:50010,"['-8649503431827393598', '10.251.199.19:48778', '10.251.199.19:50010']"
1203,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_-6883339133893273874 terminating,"['2', '-6883339133893273874']"
1204,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_3695169334833427187 terminating,"['0', '3695169334833427187']"
1205,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_6055109613223910610 terminating,"['0', '6055109613223910610']"
1206,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-1868325377308234190 src: /10.251.42.207:50666 dest: /10.251.42.207:50010,"['-1868325377308234190', '10.251.42.207:50666', '10.251.42.207:50010']"
1207,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.26.177:50010 is added to blk_-6338549285508312302 size 3530010,"['10.251.26.177:50010', '-6338549285508312302', '3530010']"
1208,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.30.179:50010 is added to blk_-900758580041645081 size 3543900,"['10.251.30.179:50010', '-900758580041645081', '3543900']"
1209,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.66.3:50010 is added to blk_1756478622414930264 size 67108864,"['10.251.66.3:50010', '1756478622414930264', '67108864']"
1210,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.127.47:50010 is added to blk_-6555060221133060529 size 67108864,"['10.251.127.47:50010', '-6555060221133060529', '67108864']"
